date,site,variable,data
2003-01-01,Zanzibar Channel,tmax,32.2
2003-02-01,Zanzibar Channel,tmax,33.7
2003-03-01,Zanzibar Channel,tmax,34.1
2003-04-01,Zanzibar Channel,tmax,33.3
2003-05-01,Zanzibar Channel,tmax,31.6
2003-06-01,Zanzibar Channel,tmax,30
2003-07-01,Zanzibar Channel,tmax,29.2
2003-08-01,Zanzibar Channel,tmax,30.2
2003-09-01,Zanzibar Channel,tmax,31.5
2003-10-01,Zanzibar Channel,tmax,32.3
2003-11-01,Zanzibar Channel,tmax,32.5
2003-12-01,Zanzibar Channel,tmax,33.4
2004-01-01,Zanzibar Channel,tmax,33.3
2004-02-01,Zanzibar Channel,tmax,31.1
2004-03-01,Zanzibar Channel,tmax,32.1
2004-04-01,Zanzibar Channel,tmax,30.2
2004-05-01,Zanzibar Channel,tmax,31.2
2004-06-01,Zanzibar Channel,tmax,29.8
2004-07-01,Zanzibar Channel,tmax,29.4
2004-08-01,Zanzibar Channel,tmax,30
2004-09-01,Zanzibar Channel,tmax,30.2
2004-10-01,Zanzibar Channel,tmax,30.9
2004-11-01,Zanzibar Channel,tmax,31.6
2004-12-01,Zanzibar Channel,tmax,31.1
2005-01-01,Zanzibar Channel,tmax,32.4
2005-02-01,Zanzibar Channel,tmax,32.5
2005-03-01,Zanzibar Channel,tmax,33
2005-04-01,Zanzibar Channel,tmax,31.8
2005-05-01,Zanzibar Channel,tmax,30.1
2005-06-01,Zanzibar Channel,tmax,30.6
2005-07-01,Zanzibar Channel,tmax,29.7
2005-08-01,Zanzibar Channel,tmax,29.9
2005-09-01,Zanzibar Channel,tmax,31.1
2005-10-01,Zanzibar Channel,tmax,31.5
2005-11-01,Zanzibar Channel,tmax,31.6
2005-12-01,Zanzibar Channel,tmax,32.7
2006-01-01,Zanzibar Channel,tmax,33.3
2006-02-01,Zanzibar Channel,tmax,33.6
2006-03-01,Zanzibar Channel,tmax,31.5
2006-04-01,Zanzibar Channel,tmax,30.8
2006-05-01,Zanzibar Channel,tmax,30
2006-06-01,Zanzibar Channel,tmax,28.6
2006-07-01,Zanzibar Channel,tmax,29.6
2006-08-01,Zanzibar Channel,tmax,30
2006-09-01,Zanzibar Channel,tmax,30.7
2006-10-01,Zanzibar Channel,tmax,31.7
2006-11-01,Zanzibar Channel,tmax,31.1
2006-12-01,Zanzibar Channel,tmax,31.5
2007-01-01,Zanzibar Channel,tmax,31.8
2007-02-01,Zanzibar Channel,tmax,33.3
2007-03-01,Zanzibar Channel,tmax,32.5
2007-04-01,Zanzibar Channel,tmax,31.5
2007-05-01,Zanzibar Channel,tmax,30.6
2007-06-01,Zanzibar Channel,tmax,30.1
2007-07-01,Zanzibar Channel,tmax,30.2
2007-08-01,Zanzibar Channel,tmax,29.9
2007-09-01,Zanzibar Channel,tmax,31.7
2007-10-01,Zanzibar Channel,tmax,31.4
2007-11-01,Zanzibar Channel,tmax,31.7
2007-12-01,Zanzibar Channel,tmax,32.2
2008-01-01,Zanzibar Channel,tmax,32.6
2008-02-01,Zanzibar Channel,tmax,31.7
2008-03-01,Zanzibar Channel,tmax,32.9
2008-04-01,Zanzibar Channel,tmax,29.5
2008-05-01,Zanzibar Channel,tmax,30.5
2008-06-01,Zanzibar Channel,tmax,29.5
2008-07-01,Zanzibar Channel,tmax,29.5
2008-08-01,Zanzibar Channel,tmax,30
2008-09-01,Zanzibar Channel,tmax,30.9
2008-10-01,Zanzibar Channel,tmax,32
2008-11-01,Zanzibar Channel,tmax,31.5
2008-12-01,Zanzibar Channel,tmax,32.4
2009-01-01,Zanzibar Channel,tmax,33.2
2009-02-01,Zanzibar Channel,tmax,33.6
2009-03-01,Zanzibar Channel,tmax,32.9
2009-04-01,Zanzibar Channel,tmax,31.2
2009-05-01,Zanzibar Channel,tmax,30.7
2009-06-01,Zanzibar Channel,tmax,30.5
2009-07-01,Zanzibar Channel,tmax,30
2009-08-01,Zanzibar Channel,tmax,30.5
2009-09-01,Zanzibar Channel,tmax,31.7
2009-10-01,Zanzibar Channel,tmax,32.5
2009-11-01,Zanzibar Channel,tmax,32.7
2009-12-01,Zanzibar Channel,tmax,33.2
2010-01-01,Zanzibar Channel,tmax,32.6
2010-02-01,Zanzibar Channel,tmax,33.7
2010-03-01,Zanzibar Channel,tmax,32.6
2010-04-01,Zanzibar Channel,tmax,31.4
2010-05-01,Zanzibar Channel,tmax,31
2010-06-01,Zanzibar Channel,tmax,30.4
2010-07-01,Zanzibar Channel,tmax,30.2
2010-08-01,Zanzibar Channel,tmax,30.5
2010-09-01,Zanzibar Channel,tmax,30.7
2010-10-01,Zanzibar Channel,tmax,32.5
2010-11-01,Zanzibar Channel,tmax,32.5
2010-12-01,Zanzibar Channel,tmax,32.7
2011-01-01,Zanzibar Channel,tmax,33.5
2011-02-01,Zanzibar Channel,tmax,33.7
2011-03-01,Zanzibar Channel,tmax,33.8
2011-04-01,Zanzibar Channel,tmax,31.3
2011-05-01,Zanzibar Channel,tmax,30.7
2011-06-01,Zanzibar Channel,tmax,30.4
2011-07-01,Zanzibar Channel,tmax,30.1
2011-08-01,Zanzibar Channel,tmax,30.4
2011-09-01,Zanzibar Channel,tmax,31.6
2011-10-01,Zanzibar Channel,tmax,32.1
2011-11-01,Zanzibar Channel,tmax,32
2011-12-01,Zanzibar Channel,tmax,32.2
2012-01-01,Zanzibar Channel,tmax,32.4
2012-02-01,Zanzibar Channel,tmax,33.3
2012-03-01,Zanzibar Channel,tmax,33.3
2012-04-01,Zanzibar Channel,tmax,32.2
2012-05-01,Zanzibar Channel,tmax,31.3
2012-06-01,Zanzibar Channel,tmax,31.2
2012-07-01,Zanzibar Channel,tmax,31
2012-08-01,Zanzibar Channel,tmax,31.4
2012-09-01,Zanzibar Channel,tmax,31.5
2012-10-01,Zanzibar Channel,tmax,32.6
2012-11-01,Zanzibar Channel,tmax,32.4
2012-12-01,Zanzibar Channel,tmax,33.4
2013-01-01,Zanzibar Channel,tmax,32.7
2013-02-01,Zanzibar Channel,tmax,33.9
2013-03-01,Zanzibar Channel,tmax,32.4
2013-04-01,Zanzibar Channel,tmax,32.2
2013-05-01,Zanzibar Channel,tmax,31.1
2013-06-01,Zanzibar Channel,tmax,30.9
2013-07-01,Zanzibar Channel,tmax,30.8
2013-08-01,Zanzibar Channel,tmax,31.4
2013-09-01,Zanzibar Channel,tmax,32.1
2013-10-01,Zanzibar Channel,tmax,32.2
2013-11-01,Zanzibar Channel,tmax,32.8
2013-12-01,Zanzibar Channel,tmax,32.9
2014-01-01,Zanzibar Channel,tmax,33.4
2014-02-01,Zanzibar Channel,tmax,32.5
2014-03-01,Zanzibar Channel,tmax,32.3
2014-04-01,Zanzibar Channel,tmax,31.4
2014-05-01,Zanzibar Channel,tmax,30.6
2014-06-01,Zanzibar Channel,tmax,31.1
2014-07-01,Zanzibar Channel,tmax,30.4
2014-08-01,Zanzibar Channel,tmax,31.8
2014-09-01,Zanzibar Channel,tmax,30.6
2014-10-01,Zanzibar Channel,tmax,32.6
2014-11-01,Zanzibar Channel,tmax,33.6
2014-12-01,Zanzibar Channel,tmax,33.6
2015-01-01,Zanzibar Channel,tmax,32.7
2015-02-01,Zanzibar Channel,tmax,34
2015-03-01,Zanzibar Channel,tmax,33.2
2015-04-01,Zanzibar Channel,tmax,32.9
2015-05-01,Zanzibar Channel,tmax,30.9
2015-06-01,Zanzibar Channel,tmax,31.6
2015-07-01,Zanzibar Channel,tmax,31.2
2015-08-01,Zanzibar Channel,tmax,30.3
2015-09-01,Zanzibar Channel,tmax,31.3
2015-10-01,Zanzibar Channel,tmax,32.8
2015-11-01,Zanzibar Channel,tmax,32
2015-12-01,Zanzibar Channel,tmax,33.1
2016-01-01,Zanzibar Channel,tmax,33
2016-02-01,Zanzibar Channel,tmax,32.3
2016-03-01,Zanzibar Channel,tmax,31
2016-04-01,Zanzibar Channel,tmax,31
2016-05-01,Zanzibar Channel,tmax,31.2
2016-06-01,Zanzibar Channel,tmax,30.7
2016-07-01,Zanzibar Channel,tmax,30.1
2016-08-01,Zanzibar Channel,tmax,30.7
2016-09-01,Zanzibar Channel,tmax,30.4
2016-10-01,Zanzibar Channel,tmax,31.6
2016-11-01,Zanzibar Channel,tmax,31.7
2016-12-01,Zanzibar Channel,tmax,31.5
2017-01-01,Zanzibar Channel,tmax,33.7
2017-02-01,Zanzibar Channel,tmax,33.5
2017-03-01,Zanzibar Channel,tmax,33
2017-04-01,Zanzibar Channel,tmax,30.9
2017-05-01,Zanzibar Channel,tmax,29.9
2017-06-01,Zanzibar Channel,tmax,30.2
2017-07-01,Zanzibar Channel,tmax,30.2
2017-08-01,Zanzibar Channel,tmax,30.5
2017-09-01,Zanzibar Channel,tmax,31.2
2017-10-01,Zanzibar Channel,tmax,31.8
2017-11-01,Zanzibar Channel,tmax,31.5
2017-12-01,Zanzibar Channel,tmax,32.1
2003-01-01,Zanzibar Channel,tmin,24.6
2003-02-01,Zanzibar Channel,tmin,24.9
2003-03-01,Zanzibar Channel,tmin,24.7
2003-04-01,Zanzibar Channel,tmin,23.1
2003-05-01,Zanzibar Channel,tmin,22.5
2003-06-01,Zanzibar Channel,tmin,21.2
2003-07-01,Zanzibar Channel,tmin,19.7
2003-08-01,Zanzibar Channel,tmin,18.3
2003-09-01,Zanzibar Channel,tmin,19.5
2003-10-01,Zanzibar Channel,tmin,20.8
2003-11-01,Zanzibar Channel,tmin,22.9
2003-12-01,Zanzibar Channel,tmin,25
2004-01-01,Zanzibar Channel,tmin,25.2
2004-02-01,Zanzibar Channel,tmin,23.8
2004-03-01,Zanzibar Channel,tmin,24.2
2004-04-01,Zanzibar Channel,tmin,23.1
2004-05-01,Zanzibar Channel,tmin,21.4
2004-06-01,Zanzibar Channel,tmin,19.8
2004-07-01,Zanzibar Channel,tmin,18.7
2004-08-01,Zanzibar Channel,tmin,18.3
2004-09-01,Zanzibar Channel,tmin,19.6
2004-10-01,Zanzibar Channel,tmin,21.4
2004-11-01,Zanzibar Channel,tmin,22.7
2004-12-01,Zanzibar Channel,tmin,24.1
2005-01-01,Zanzibar Channel,tmin,24.2
2005-02-01,Zanzibar Channel,tmin,25
2005-03-01,Zanzibar Channel,tmin,24.6
2005-04-01,Zanzibar Channel,tmin,23.6
2005-05-01,Zanzibar Channel,tmin,21.9
2005-06-01,Zanzibar Channel,tmin,20.3
2005-07-01,Zanzibar Channel,tmin,19.3
2005-08-01,Zanzibar Channel,tmin,18.2
2005-09-01,Zanzibar Channel,tmin,19
2005-10-01,Zanzibar Channel,tmin,20
2005-11-01,Zanzibar Channel,tmin,21.9
2005-12-01,Zanzibar Channel,tmin,24.5
2006-01-01,Zanzibar Channel,tmin,24.8
2006-02-01,Zanzibar Channel,tmin,24.7
2006-03-01,Zanzibar Channel,tmin,23.6
2006-04-01,Zanzibar Channel,tmin,23
2006-05-01,Zanzibar Channel,tmin,21.6
2006-06-01,Zanzibar Channel,tmin,20.3
2006-07-01,Zanzibar Channel,tmin,18.9
2006-08-01,Zanzibar Channel,tmin,19.3
2006-09-01,Zanzibar Channel,tmin,19.7
2006-10-01,Zanzibar Channel,tmin,21.5
2006-11-01,Zanzibar Channel,tmin,22.9
2006-12-01,Zanzibar Channel,tmin,23.6
2007-01-01,Zanzibar Channel,tmin,25.2
2007-02-01,Zanzibar Channel,tmin,24.7
2007-03-01,Zanzibar Channel,tmin,23.9
2007-04-01,Zanzibar Channel,tmin,23.1
2007-05-01,Zanzibar Channel,tmin,22.6
2007-06-01,Zanzibar Channel,tmin,20
2007-07-01,Zanzibar Channel,tmin,19.2
2007-08-01,Zanzibar Channel,tmin,19.5
2007-09-01,Zanzibar Channel,tmin,19.8
2007-10-01,Zanzibar Channel,tmin,20.7
2007-11-01,Zanzibar Channel,tmin,22.7
2007-12-01,Zanzibar Channel,tmin,24.3
2008-01-01,Zanzibar Channel,tmin,24.7
2008-02-01,Zanzibar Channel,tmin,24
2008-03-01,Zanzibar Channel,tmin,23.2
2008-04-01,Zanzibar Channel,tmin,22.4
2008-05-01,Zanzibar Channel,tmin,21.3
2008-06-01,Zanzibar Channel,tmin,19.1
2008-07-01,Zanzibar Channel,tmin,18.6
2008-08-01,Zanzibar Channel,tmin,19
2008-09-01,Zanzibar Channel,tmin,19
2008-10-01,Zanzibar Channel,tmin,21.3
2008-11-01,Zanzibar Channel,tmin,23.3
2008-12-01,Zanzibar Channel,tmin,24.7
2009-01-01,Zanzibar Channel,tmin,25.2
2009-02-01,Zanzibar Channel,tmin,24.2
2009-03-01,Zanzibar Channel,tmin,23.8
2009-04-01,Zanzibar Channel,tmin,23.5
2009-05-01,Zanzibar Channel,tmin,21.8
2009-06-01,Zanzibar Channel,tmin,NA
2009-07-01,Zanzibar Channel,tmin,19.7
2009-08-01,Zanzibar Channel,tmin,19.2
2009-09-01,Zanzibar Channel,tmin,19.6
2009-10-01,Zanzibar Channel,tmin,21.9
2009-11-01,Zanzibar Channel,tmin,23.8
2009-12-01,Zanzibar Channel,tmin,24.9
2010-01-01,Zanzibar Channel,tmin,25.6
2010-02-01,Zanzibar Channel,tmin,25.4
2010-03-01,Zanzibar Channel,tmin,25
2010-04-01,Zanzibar Channel,tmin,23.9
2010-05-01,Zanzibar Channel,tmin,22.5
2010-06-01,Zanzibar Channel,tmin,20.9
2010-07-01,Zanzibar Channel,tmin,19.9
2010-08-01,Zanzibar Channel,tmin,19.4
2010-09-01,Zanzibar Channel,tmin,19.9
2010-10-01,Zanzibar Channel,tmin,21.2
2010-11-01,Zanzibar Channel,tmin,23.3
2010-12-01,Zanzibar Channel,tmin,24.5
2011-01-01,Zanzibar Channel,tmin,24.8
2011-02-01,Zanzibar Channel,tmin,24.6
2011-03-01,Zanzibar Channel,tmin,24
2011-04-01,Zanzibar Channel,tmin,23.3
2011-05-01,Zanzibar Channel,tmin,22.6
2011-06-01,Zanzibar Channel,tmin,20.7
2011-07-01,Zanzibar Channel,tmin,19.2
2011-08-01,Zanzibar Channel,tmin,19.6
2011-09-01,Zanzibar Channel,tmin,20.5
2011-10-01,Zanzibar Channel,tmin,21.7
2011-11-01,Zanzibar Channel,tmin,22.9
2011-12-01,Zanzibar Channel,tmin,24.3
2012-01-01,Zanzibar Channel,tmin,25.4
2012-02-01,Zanzibar Channel,tmin,24.7
2012-03-01,Zanzibar Channel,tmin,23.6
2012-04-01,Zanzibar Channel,tmin,22.8
2012-05-01,Zanzibar Channel,tmin,21
2012-06-01,Zanzibar Channel,tmin,19.4
2012-07-01,Zanzibar Channel,tmin,18.1
2012-08-01,Zanzibar Channel,tmin,19.4
2012-09-01,Zanzibar Channel,tmin,20
2012-10-01,Zanzibar Channel,tmin,21.4
2012-11-01,Zanzibar Channel,tmin,23.1
2012-12-01,Zanzibar Channel,tmin,24.2
2013-01-01,Zanzibar Channel,tmin,25.1
2013-02-01,Zanzibar Channel,tmin,25.8
2013-03-01,Zanzibar Channel,tmin,24.2
2013-04-01,Zanzibar Channel,tmin,23.4
2013-05-01,Zanzibar Channel,tmin,22
2013-06-01,Zanzibar Channel,tmin,19.7
2013-07-01,Zanzibar Channel,tmin,19
2013-08-01,Zanzibar Channel,tmin,19.3
2013-09-01,Zanzibar Channel,tmin,19.9
2013-10-01,Zanzibar Channel,tmin,21.4
2013-11-01,Zanzibar Channel,tmin,23.2
2013-12-01,Zanzibar Channel,tmin,24.9
2014-01-01,Zanzibar Channel,tmin,25.9
2014-02-01,Zanzibar Channel,tmin,24.4
2014-03-01,Zanzibar Channel,tmin,23.7
2014-04-01,Zanzibar Channel,tmin,23.5
2014-05-01,Zanzibar Channel,tmin,22.4
2014-06-01,Zanzibar Channel,tmin,20.9
2014-07-01,Zanzibar Channel,tmin,19.8
2014-08-01,Zanzibar Channel,tmin,20
2014-09-01,Zanzibar Channel,tmin,20.2
2014-10-01,Zanzibar Channel,tmin,21.7
2014-11-01,Zanzibar Channel,tmin,23.1
2014-12-01,Zanzibar Channel,tmin,25.1
2015-01-01,Zanzibar Channel,tmin,25.5
2015-02-01,Zanzibar Channel,tmin,25.5
2015-03-01,Zanzibar Channel,tmin,24.6
2015-04-01,Zanzibar Channel,tmin,23.8
2015-05-01,Zanzibar Channel,tmin,22.8
2015-06-01,Zanzibar Channel,tmin,20.7
2015-07-01,Zanzibar Channel,tmin,20.2
2015-08-01,Zanzibar Channel,tmin,20.1
2015-09-01,Zanzibar Channel,tmin,20.2
2015-10-01,Zanzibar Channel,tmin,22
2015-11-01,Zanzibar Channel,tmin,24.6
2015-12-01,Zanzibar Channel,tmin,26
2016-01-01,Zanzibar Channel,tmin,26.8
2016-02-01,Zanzibar Channel,tmin,25.8
2016-03-01,Zanzibar Channel,tmin,27
2016-04-01,Zanzibar Channel,tmin,24.6
2016-05-01,Zanzibar Channel,tmin,22.5
2016-06-01,Zanzibar Channel,tmin,21.1
2016-07-01,Zanzibar Channel,tmin,19.8
2016-08-01,Zanzibar Channel,tmin,20.4
2016-09-01,Zanzibar Channel,tmin,20
2016-10-01,Zanzibar Channel,tmin,19
2016-11-01,Zanzibar Channel,tmin,23.9
2016-12-01,Zanzibar Channel,tmin,26.9
2017-01-01,Zanzibar Channel,tmin,26.4
2017-02-01,Zanzibar Channel,tmin,25.9
2017-03-01,Zanzibar Channel,tmin,25
2017-04-01,Zanzibar Channel,tmin,24.2
2017-05-01,Zanzibar Channel,tmin,23.4
2017-06-01,Zanzibar Channel,tmin,22.1
2017-07-01,Zanzibar Channel,tmin,20.2
2017-08-01,Zanzibar Channel,tmin,21
2017-09-01,Zanzibar Channel,tmin,21.1
2017-10-01,Zanzibar Channel,tmin,21.9
2017-11-01,Zanzibar Channel,tmin,23.6
2017-12-01,Zanzibar Channel,tmin,25.1
2003-01-01,Zanzibar Channel,rainfall,20.1
2003-02-01,Zanzibar Channel,rainfall,22.2
2003-03-01,Zanzibar Channel,rainfall,122.4
2003-04-01,Zanzibar Channel,rainfall,13.7
2003-05-01,Zanzibar Channel,rainfall,130.8
2003-06-01,Zanzibar Channel,rainfall,109.5
2003-07-01,Zanzibar Channel,rainfall,26.1
2003-08-01,Zanzibar Channel,rainfall,0.9
2003-09-01,Zanzibar Channel,rainfall,3.5
2003-10-01,Zanzibar Channel,rainfall,22.4
2003-11-01,Zanzibar Channel,rainfall,89.2
2003-12-01,Zanzibar Channel,rainfall,24.6
2004-01-01,Zanzibar Channel,rainfall,77.7
2004-02-01,Zanzibar Channel,rainfall,149.8
2004-03-01,Zanzibar Channel,rainfall,134.5
2004-04-01,Zanzibar Channel,rainfall,297.6
2004-05-01,Zanzibar Channel,rainfall,19.3
2004-06-01,Zanzibar Channel,rainfall,42.7
2004-07-01,Zanzibar Channel,rainfall,0.9
2004-08-01,Zanzibar Channel,rainfall,0.6
2004-09-01,Zanzibar Channel,rainfall,31.1
2004-10-01,Zanzibar Channel,rainfall,93.5
2004-11-01,Zanzibar Channel,rainfall,65.5
2004-12-01,Zanzibar Channel,rainfall,181.6
2005-01-01,Zanzibar Channel,rainfall,154.8
2005-02-01,Zanzibar Channel,rainfall,38.9
2005-03-01,Zanzibar Channel,rainfall,80.2
2005-04-01,Zanzibar Channel,rainfall,119.4
2005-05-01,Zanzibar Channel,rainfall,302.6
2005-06-01,Zanzibar Channel,rainfall,2.8
2005-07-01,Zanzibar Channel,rainfall,14.9
2005-08-01,Zanzibar Channel,rainfall,13.8
2005-09-01,Zanzibar Channel,rainfall,10.5
2005-10-01,Zanzibar Channel,rainfall,124.9
2005-11-01,Zanzibar Channel,rainfall,24.5
2005-12-01,Zanzibar Channel,rainfall,13.4
2006-01-01,Zanzibar Channel,rainfall,6.4
2006-02-01,Zanzibar Channel,rainfall,44
2006-03-01,Zanzibar Channel,rainfall,243.5
2006-04-01,Zanzibar Channel,rainfall,226.7
2006-05-01,Zanzibar Channel,rainfall,166.4
2006-06-01,Zanzibar Channel,rainfall,142.9
2006-07-01,Zanzibar Channel,rainfall,15
2006-08-01,Zanzibar Channel,rainfall,6.5
2006-09-01,Zanzibar Channel,rainfall,23.8
2006-10-01,Zanzibar Channel,rainfall,78.1
2006-11-01,Zanzibar Channel,rainfall,240.9
2006-12-01,Zanzibar Channel,rainfall,230.4
2007-01-01,Zanzibar Channel,rainfall,8.5
2007-02-01,Zanzibar Channel,rainfall,39.4
2007-03-01,Zanzibar Channel,rainfall,201.4
2007-04-01,Zanzibar Channel,rainfall,181.7
2007-05-01,Zanzibar Channel,rainfall,124.2
2007-06-01,Zanzibar Channel,rainfall,16.5
2007-07-01,Zanzibar Channel,rainfall,2
2007-08-01,Zanzibar Channel,rainfall,26.2
2007-09-01,Zanzibar Channel,rainfall,14.3
2007-10-01,Zanzibar Channel,rainfall,70.3
2007-11-01,Zanzibar Channel,rainfall,113.7
2007-12-01,Zanzibar Channel,rainfall,45.8
2008-01-01,Zanzibar Channel,rainfall,52.3
2008-02-01,Zanzibar Channel,rainfall,56.1
2008-03-01,Zanzibar Channel,rainfall,159.4
2008-04-01,Zanzibar Channel,rainfall,303.8
2008-05-01,Zanzibar Channel,rainfall,62.4
2008-06-01,Zanzibar Channel,rainfall,10
2008-07-01,Zanzibar Channel,rainfall,6.7
2008-08-01,Zanzibar Channel,rainfall,10.4
2008-09-01,Zanzibar Channel,rainfall,16.7
2008-10-01,Zanzibar Channel,rainfall,95
2008-11-01,Zanzibar Channel,rainfall,116.8
2008-12-01,Zanzibar Channel,rainfall,11.7
2009-01-01,Zanzibar Channel,rainfall,17.9
2009-02-01,Zanzibar Channel,rainfall,61.8
2009-03-01,Zanzibar Channel,rainfall,103.8
2009-04-01,Zanzibar Channel,rainfall,240.1
2009-05-01,Zanzibar Channel,rainfall,25.2
2009-06-01,Zanzibar Channel,rainfall,10.6
2009-07-01,Zanzibar Channel,rainfall,1.4
2009-08-01,Zanzibar Channel,rainfall,5.8
2009-09-01,Zanzibar Channel,rainfall,2.1
2009-10-01,Zanzibar Channel,rainfall,38.8
2009-11-01,Zanzibar Channel,rainfall,18.2
2009-12-01,Zanzibar Channel,rainfall,69.9
2010-01-01,Zanzibar Channel,rainfall,14
2010-02-01,Zanzibar Channel,rainfall,83.2
2010-03-01,Zanzibar Channel,rainfall,167.7
2010-04-01,Zanzibar Channel,rainfall,362.2
2010-05-01,Zanzibar Channel,rainfall,119
2010-06-01,Zanzibar Channel,rainfall,14.6
2010-07-01,Zanzibar Channel,rainfall,7.1
2010-08-01,Zanzibar Channel,rainfall,15.8
2010-09-01,Zanzibar Channel,rainfall,46.2
2010-10-01,Zanzibar Channel,rainfall,0.4
2010-11-01,Zanzibar Channel,rainfall,48.7
2010-12-01,Zanzibar Channel,rainfall,85.3
2011-01-01,Zanzibar Channel,rainfall,4.1
2011-02-01,Zanzibar Channel,rainfall,103.8
2011-03-01,Zanzibar Channel,rainfall,26.3
2011-04-01,Zanzibar Channel,rainfall,224.4
2011-05-01,Zanzibar Channel,rainfall,106.7
2011-06-01,Zanzibar Channel,rainfall,29.7
2011-07-01,Zanzibar Channel,rainfall,11.9
2011-08-01,Zanzibar Channel,rainfall,26.3
